scott a.golder
peng wu, weimin ding, zhidong mao, dan tretter
peng wu, dan tretter
siyu xia, ming shao, jiebo luo, yun fu
yan-ying chen, winston h. hsu, hong-yuan mark liao
aldo pareja, giacomo domeniconi, jian jhen chen, tengfei ma, toyotaro suzumura, hiroki kanezashi, tim kaler, charles e. leisersen
seyed amjad seyedi, parham moradi, fardin akhlaghian tab
jundong li, harsh dani, xia hu, jiliang tang, yi chang, huan liu
xiao wang, peng cui, jing wang, jian pei, wenwu zhu, shiqiang yang
nahla mohamed ahmed, ling chen, yulong wang, bin li, yun li, wei liu
chen chen, hanghang tong
dingyuan zhu, peng cui, ziwei zhang, jian pei, wenwu zhu
peng liu, lemei zhang, jon atle gulla
aakas zhiyuli, xun liang, yanfang chen, xiaoyong du
linhong zhu, dong guo, junming yin, greg ver steeg, aram galstyan
ziwei zhang, peng cui, jian pei, xiao wang, wenwu zhu
lun du, yun wang, guojie song, zhicong lu, junshan wan
giang hoang nguyen, john boaz lee, ryan a. rossi, nesreen k. ahmed, eunyee koh, sungchul kim
yuan zuo, guannan liu, hao lin, jia guo, xiaoqian hu, junjie wu
wenchao yu, wei cheng, charu c. aggarwal, kai zhang, haifeng chen, wei wang
ying yin, li xin ji, jian peng zhang, yu long pei
hao peng, jianxin li, hao yan, qiran gong, senzhang wang, lin liu, lihong wang, xiang ren
benyun shi, jianan zhong, qing bao, hongjun qiu, jiming liu
sedigheh mahdavi, shima khoshraftar, aijun an
jundong li, xia hu, ling jian, huan liu
xiaoyi li, nan du, hui li, kang li, jing gao, aidong zhang
palash goyal, sujit rokka chhetri, arquimedes canedo
neil shah, danai koutra, tianmin zou, brian gallagher, christos faloutsos
taisong li, jiawei zhang, philip s. yu, yan zhang, yonghong yan
srijan kumar, xikun zhang, jure leskovec
jundong li, kewei cheng, liang wu, huan liu
taisong li, bing wang, yasong jiang, yan zhang, yonghong yan
yujing zhou, weile liu, yang pei, lei wang, daren zha, tianshu fu
jianxin ma, peng cui, wenwu zhu
uriel singer, ido guy, kira radinsky
carter chiu, justin zhan
quan wang, zhendong mao, bin wang, li guo
kurt bollacker, colin evans, praveen paritosh, tim sturge, jamie taylor
sören auer, christian bizer
fabian m. suchanek, gjergji kasneci, gerhard weikum
andrew carlson, justin betteridge, bryan kisiel, burr settles, estevam r. hruschka, tom m. mitchell
antoine bordes, jason weston, nicolas usunier
antoine bordes, sumit chopra, jason weston
maximilian nickel, volker tresp, hans-peter kriegel
antoine bordes, nicolas usunier, alberto garcia-duran, jason weston, oksana yakhnenko
zhen wang, jianwen zhang, jianlin feng, zheng chen
yankai lin, zhiyuan liu, maosong sun, yang liu, xuan zhu
rodolphe jenatton, nicolas le roux, antoine bordes, guillaume obozinski
bordes antoine, glorot xavier, weston jason, bengio yoshua
richard socher, danqi chen, christopher d. manning, andrew y. ng
jason weston, antoine bordes, oksana yakhnenko, nicolas usunier
sebastian riedel, limin yao, andrew mccallum, benjamin m. marlin
maximilian nickel, volker tresp, otto-hahn ring, hans-peter kriegel
ruobing xie, zhiyuan liu, maosong sun
yankai lin, zhiyuan liu, huanbo luan, maosong sun, siwei rao, song liu
kelvin guu, john miller, percy liang
zhen wang, jianwen zhang, jianlin feng, zheng chen
ruobing xie, zhiyuan liu, jia jia, huanbo luan, maosong sun
zhigang wang, juanzi li, zhiyuan liu, jie tang
shu guo, quan wang, lihong wang, bin wang, li guo
tim rocktaschel, sameer singh, sebastian riedel
guoliang ji, jun zhao
han xiao, minlie huang, xiaoyan zhu
yantao jia, yuanzhuo wang, hailun lin, xiaolong jin, xueqi cheng
zhang wen, chen huajun
takuma ebisu, ryutaro ichise
boyang ding, quan wang, bin wang, li guo
shu guo, quan wang, lihong wang, bin wang, li guo
yongqi zhang, quanming yao, yingxia shao, lei chen
vıctor gutierrez-basulto, steven schockaert
muhao chen, yingtao tian, xuelu chen, zijun xue, carlo zaniolo
junheng hao, muhao chen, wenchao yu, yizhou sun, wei wang
man t, shen h, liu s
hu r, aggarwal c c, ma s
cao s, lu w, xu q
veličković p, cucurull g, casanova a
kipf t n, welling m
wu z, pan s, chen f
bourigault s, lagnier c, lamprier s
wang d, cui p, zhu w
wang s, tang j
l. xu, x. wei, j. cao, p. s. yu
grover a, leskovec j
cao s, lu w, xu q
sengupta n, bagchi a, ramanath m
murai s, yoshida y
zhang m, hu b, shi c
oliveira r i, peres y
ding m c, szeto k y
peng cui, xiao wang, jian pei, wenwu zhu
palash goyal, di huang, sujit rokka chhetri, arquimedes canedo, jaya shree, evan patterson
tiago a. schieber, laura carpi, albert díaz-guilera, panos m. pardalos, cristina masoller, martín g. ravetti
matthias fey, jan eric lenssen
daixin wang, peng cui, wenwu zhu
shaosheng cao, wei lu, qiongkai xu
shuicheng yan, dong xu, benyu zhang, hong-jiang zhang, qiang yang, stephen lin
yann jacob, ludovic denoyer, patrick gallinari
linchuan xu, xiaokai wei, jiannong cao, philip s. yu
jure leskovec, rok sosic
c tu, w zhang, z liu
t. m. le, h. w. lauw
t. liu
y. wang
zhan xiu-xiu, hanjalic alan, wang huijuan
xiu-xiu zhan, chuang liu, ge zhou, zi-ke zhang, gui-quan sun, jonathan j.h. zhu, zhen jin
zhang ling, luo manman, zhu lijun
cindy xide lin, qiaozhumei, yunliang jiang, jiawei han, shanxiang qi
seth myers, chenguang zhu, jure leskovec
zhao zhi-ying, yu hai, zhu zhi-liang, wang xiao-fan
jure leskovec, andreas krause, carlos guestrin, christos faloutsos, jeanne vanbriesen, natalie glance
xiang ying-zhuo, wei qiang, you ling
li feng, wei ying
wang gang, hu xin, lu shiwei, ma runnian
黄启发, 朱建明, 宋 彪, 章 宁
李凌云, 敖吉, 乔治, 李剑
周东浩, 韩文报
王乐, 王勇, 王东安, 徐小琳
dong li, zhiming xu, sheng li, xin sun
biao chang, tong xu, qi liu, en-hong chen
jing ma, wei gao, prasenjit mitra, sejeong kwon, bernard j. jansen, kam-fai wong, meeyoung cha
张艳梅, 黄莹莹, 甘世杰, 丁熠, 马志龙
philip, zhou
jiawei zhang, congying xia, chenwei zhang, limeng cui, yanjie fu, philip s. yu
zhang jiawei, kong xiangnan, yu philip
xiangnan kong, jiawei zhang, philip s. yu
luo wei, li kan
li liu, william k. cheung, xin li, lejian liao
hardik patel, pavlos paraskevopoulos, matthias renz
chuan shi, xiaotian han, li song, xiao wang, senzhang wang, junping du, philip s. yu
sheng zhou, jiajun bu, xin wang, jiawei chen, bingbing hu, defang chen, can wang
hongxu chen, hongzhi yin, weiqing wang, hao wang, quoc viet hung nguyen, xue li
ke tu, peng cui, xiao wang, fei wang, wenwu zhu
meng qu, jian tang, jiawei han
jiezhong qiu, yuxiao dong, hao ma, jian li, kuansan wang, jie tang
yao ma, zhaochun ren, ziheng jiang, jiliang tang, dawei yin
yu shi, qi zhu, fang guo, chao zhang, jiawei han
ziwei zhang, peng cui, xiao wang, jian pei, xuanrong yao, wenwu zhu
jingchao ni, shiyu chang, xiao liu, wei cheng, haifeng chen, dongkuan xu, xiang zhang
linchuan xu, xiaokai wei, jiannong cao, philip s. yu
yupeng gu, yizhou sun, yanen li, yang yang
yuxin chen, chenguang wang
daixin wang, peng cui, wenwu zhu
yu shi, huan gui, qi zhu, lance kaplan, jiawei han
ting chen, yizhou sun
linchuan xu, xiaokai wei, jiannong cao, philip s. yu
hamid dadkhahi, benjamin m. marlin
qingbo hu, sihong xie, shuyang lin, senzhang wang, philip s. yu
s, ro cavallari
chenlong liu, jing liu, member, ieee, zhongzhou jiang
wen-jun liu, bin chen
xuemei you, yinghong ma, zhiyuan liu
linbo luo, kexin liu, bin guo, jianfeng ma
zhuo wang, weiping wang, chaokun wang, xiaoyan gu, bo li, dan meng
sanket chobe, justin zhan
santo fortunato, darko hric
yunlei zhang, bin wu, nianwen ning, chenguang song, jinna lv
marta sarzynska, elizabeth a. leicht, gerardo chowell, mason a. porter
zejun sun, bin wang, jinfang sheng, zhongjing yu, rongpei zhou, junmingshao
ying xie, xinmei wang, dan jiang, rongbin xu
kun he, yingru li, sucheta soundarajan, john e. hopcrof
chung-kyun han shih-fen cheng pradeep varakantham
ludvig bohlin, daniel edler, andrea lancichinetti, martin rosvall
yawen jiang, caiyan jia, jian yu
steve harenberg, gonzalo bello, l. gjeltema, stephen ranshous, jitendra harlalka, ramona seay, kanchana padmanabhan, nagiza samatova
guo-jun qi, charu c. aggarwal, thomas huang
yixiang fang, reynold cheng, siqiang luo, jiafeng hu
arif mahmood, michael small
zhiyuanliu, yinghongma
zhen duan, haodong zou, xing min, shu zhao, jie chen, yanping zhang
zhuo wang, weiping wang, chaokun wang, xiaoyan gu, bo li, dan meng
jaewon yang, julian mcauley, jure leskovec
muhammad aqib javed, muhammad shahzad younis, siddique latif, junaid qadir, adeel baig
andrea lancichinetti, santo fortunato, filippo radicchi
karthik raman, balaraman ravindran
jinfang sheng, jie hu, zejun sun, bin wang, aman ullah, kai wang, junkai zhang
joyce jiyoung whang, david f. gleich, inderjit s. dhillon
andrea lancichinetti, santo fortunato
caterina de bacco, eleanor a. power, daniel b. larremore, cristopher moore
nam p. nguyen, thang n. dinh, yilin shen, my t. thai
xuequn li, shuming zhou, jiafei liu, guanqin lian, gaolin chen, chen-wan lin
rodrigo aldecoa, ignacio marín
daniela stoltenberga, daniel maierb, annie waldherr
philip s. yu
zhengyou xia, zhanbu
jianye yang
wenhui wu a, sam kwong a, b, yu zhou c, yuheng jia a, wei gao
hongyi zhang, irwin king, michael r. lyu, 
theo trouillon, johannes welb, sebastian riedel, eric gaussier, guillaume bouchard
bryan perozzi, rami al-rfou, steven skiena
bishan yang, wen-tau yih, xiaodong he, jianfeng gao, li deng
zhaocheng zhu, shizhen xu, meng qu, jian tang
jian tang, jingzhou liu, ming zhang, qiaozhu mei
jian tang, meng qu, mingzhe wang, ming zhang, jun yan, qiaozhu mei
aditya grover, jure leskovec
zhiqing sun, zhi-hong deng, jian-yun nie, jian tang
seyed mehran kazemi, david poole
antoine bordes, nicolas usunier, alberto garcia-dur´an, jason weston, oksana yakhnenko
